date,symbol,close,volume,liquidity_vnd,industry
2026-01-16,POM,6900.0,5306700,36616230000,Tài nguyên Cơ bản
2026-01-16,SBT,22910.0,504200,11551222000,Thực phẩm & Nông nghiệp
2026-01-16,LTG,7000.0,302900,2120300000,Thực phẩm & Nông nghiệp
2026-01-16,TAR,4000.0,328400,1313600000,Thực phẩm & Nông nghiệp
2026-01-16,VGG,44000.0,4600,202400000,Dệt may
2026-01-16,SRC,50100.0,3200,160320000,Hóa chất & Nhựa
2026-01-16,SZL,48000.0,2400,115200000,Bất động sản & KCN
2026-01-16,VSN,17100.0,5900,100890000,Thực phẩm & Nông nghiệp
2026-01-16,STG,41300.0,2400,99120000,Vận tải & Logistics
2026-01-16,PTI,30000.0,2700,81000000,Dịch vụ Tài chính
2026-01-16,CC1,37800.0,1900,71820000,Xây dựng & Đầu tư công
2026-01-16,PGS,53170.0,1200,63804000,Năng lượng & Tiện ích
2026-01-16,DNW,34500.0,300,10350000,Năng lượng & Tiện ích
2026-01-16,TMS,40560.0,200,8112000,Vận tải & Logistics
2026-01-16,SFG,10100.0,700,7070000,Hóa chất & Nhựa
2026-01-19,SZL,48000.0,2300,110400000,Bất động sản & KCN
2026-01-19,NVT,7600.0,5700,43320000,Bất động sản & KCN
2026-01-19,SBT,22910.0,550400,12609664000,Thực phẩm & Nông nghiệp
2026-01-19,VSN,17000.0,400,6800000,Thực phẩm & Nông nghiệp
2026-01-19,PGS,51730.0,2800,144844000,Năng lượng & Tiện ích
2026-01-19,DNW,34500.0,2100,72450000,Năng lượng & Tiện ích
2026-01-19,CC1,41000.0,5100,209100000,Xây dựng & Đầu tư công
2026-01-19,SFG,10350.0,200,2070000,Hóa chất & Nhựa
2026-01-19,TMS,40560.0,3300,133848000,Vận tải & Logistics
2026-01-19,VGG,43900.0,200,8780000,Dệt may
2026-01-22,SBT,22630.0,599200,13559896000,Thực phẩm & Nông nghiệp
2026-01-22,DNW,33000.0,27600,910800000,Năng lượng & Tiện ích
2026-01-22,SZL,49000.0,5200,254800000,Bất động sản & KCN
2026-01-22,STG,40050.0,3700,148185000,Vận tải & Logistics
2026-01-22,CC1,42800.0,2300,98440000,Xây dựng & Đầu tư công
2026-01-22,SFG,10000.0,9200,92000000,Hóa chất & Nhựa
2026-01-22,VGG,43900.0,300,13170000,Dệt may
2026-01-22,TMS,41300.0,100,4130000,Vận tải & Logistics
2026-01-22,VSN,16900.0,200,3380000,Thực phẩm & Nông nghiệp
2026-01-22,NVT,7500.0,100,750000,Bất động sản & KCN
2025-12-31,SBT,23670.0,1172400,27750708000,Thực phẩm & Nông nghiệp
2025-12-31,SZL,47000.0,14400,676800000,Bất động sản & KCN
