symbol,outstanding_shares
VIC,7706031024
HPG,7675465855
VCB,5589062006
VHM,4354367468
VPB,7933923485
TCB,7044810714
BID,5700435900
MBB,5287093244
CTG,5370072931
ACB,4466276856
VRE,2272318410
FPT,1460492823
GAS,2296720000
MSN,1430843406
VNM,2089955445
SSI,1511130182
VND,1222044101
DGC,379769363
HSG,615931652
NKG,263353815
PVD,555831511
PVS,477966290
STB,1885215716
HDB,5005276323
VIB,3404005710
SHB,4593703838
TPB,2774046873
SSB,2845000000
LPB,2987282100
EIB,1862720607
MSB,3120000000
OCB,2663052284
NAB,1715686480
BAB,1072140201
KLB,578370526
NVB,1924632751
BVB,640820000
SGB,360819732
PGB,681587608
ABB,1397208685
VAB,816360672
NVL,2234496474
KDH,1122214899
NLG,485097383
DXG,1112384189
DIG,796431191
PDR,997809379
KBC,941754759
IDC,379498823
VGC,448350000
SZC,179985863
CEO,567416075
HDG,369963035
BCM,1035000000
NTL,121979900
IJC,629580640
TDC,127228000
SCR,430595036
CRE,463678426
KHG,449435205
HQC,626599274
TCH,912109224
DXS,579103124
NBB,100159795
SJS,297474828
SIP,242112943
NTC,23999980
SNZ,376491800
TIG,193606205
IDV,47421881
DTD,66686055
L14,30859315
HDC,199754571
VPI,320049577
TIP,65007857
D2D,30259742
QCG,275129141
LHG,50012010
KOS,216481335
CSC,41149264
SGR,69874989
IDJ,173490193
AGG,162528081
CKG,161807526
LDG,255615849
ITC,95935049
SAB,1282562372
KDC,289806316
QNS,367648153
DBC,384866667
PAN,208894750
BAF,304021642
VHC,211425759
ANV,266255750
IDI,273172668
FMC,65388889
MPC,401093000
ASM,407194183
LSS,90026592
SLS,9791945
MCH,1294460962
HAG,1267399283
HNG,1108553895
MML,340316858
MCM,110000000
VCF,26579135
NSC,17574516
VLC,212491611
ACL,50159019
CMX,101898990
APF,32747339
SMC,73606837
TLH,112320017
KSB,114443703
DHA,14721073
VLB,46720560
HT1,381589911
BCC,123209812
BMP,81860938
NTP,171038220
PTB,80326084
TTF,411182434
VGS,61524155
TIS,183988900
DTL,60630984
VCS,160000000
ACG,150787946
MSR,1099829520
DHC,96591206
VPG,88415751
TVD,44962864
CST,42846773
NBC,36999124
VCI,1147631925
HCM,1079956671
SHS,899462220
MBS,667288940
FTS,346498009
BSI,245365943
CTS,212693438
VIX,2450287772
AGR,228311776
ORS,623930904
VDS,272000000
APS,83000000
TVS,224439917
DSC,278471711
APG,223621942
SBS,146607600
BVH,742322764
BMI,150547626
MIG,211503463
BIC,202067057
PVI,234241847
VNR,200630248
BVS,72200145
EVS,164800618
TCI,115620964
ABI,101347632
VIG,45133300
EVF,760565802
PLX,1270592235
BSR,5007299686
POW,3067845688
NT2,287876029
PC1,411285343
REE,541658139
BWE,219928644
TDM,111100000
GEG,414804371
QTP,450000000
HND,500000000
VSH,236241246
CHP,157658076
SBA,60488261
OIL,1034229500
PVC,81194463
PVB,21599998
CNG,35099298
PGC,60339285
TTA,178559087
TMP,70000000
SHP,101206352
TV2,67526165
GEX,902398948
PPC,320613054
VCG,646468336
LCG,206602129
HHV,547166296
CII,671985291
CTD,106500404
HBC,347213270
FCN,157439005
C4G,357300754
DPG,118587096
HUT,1068285581
G36,103745067
CTI,62999997
HTN,89116411
VNE,82132953
C32,30058290
PLC,80797566
THD,384999972
HAN,141048000
VC7,96090556
LIG,94220661
DPM,679925021
DCM,529400000
PHR,135499198
GVR,4000000000
DPR,86885932
TRC,30000000
DRI,73200000
BFC,57167993
CSV,110499910
LAS,112856400
DDV,146109900
AAA,393742730
APH,243884268
BRC,12374997
DRC,154429283
CSM,103625262
NHH,112964000
PAT,25000000
HVN,3111498211
VJC,591611334
HAH,185840401
GMD,426495109
SGN,33498591
ACV,3582324023
VOS,140000000
VTO,79866666
VIP,68470941
PVT,469931235
TCL,30158436
PHP,326960000
SKG,66497697
MVN,1200588000
SGP,216278461
ILB,38199492
VSC,374370362
SCS,102076982
MWG,1468423529
PNJ,341149107
FRT,170301785
DGW,221168700
PET,106722131
HAX,107439681
SVC,93267789
CTF,95653859
AST,45000000
TMT,36877980
VEA,1328800000
TLG,96528340
RAL,23547419
DHG,130746071
IMP,154008962
DBD,94489262
TRA,41450540
DVN,237000000
TNH,165751943
OPC,64050892
DHT,90574038
DCL,73041030
JVC,112500171
CMG,232900908
ELC,110051943
FOX,738763463
VGI,3043811200
ITD,26172807
SAM,379960971
VNZ,29726465
VTP,121783042
CTR,114385879
TCM,112038755
TNG,128731266
MSH,112521020
VGT,500000000
STK,140123130
GIL,101596218
M10,31750756
